"review_id","star_rating","helpful_votes","total_votes","vine","verified_purchase"
"R10000DR28BLH2","3",1,1,"N",NULL
"R10000LN0TDTYV","1",0,2,"N",NULL
"R10001DFHP3GVL","5",0,0,"N",NULL
"R100036BV7RBXY","5",0,0,"N",NULL
"R10005QOOMIE58","5",0,1,"N",NULL
"R100061N411XQJ","5",0,0,"N",NULL
"R10006OVBR7BHO","5",0,0,"N",NULL
"R10007IQXO1QS4","4",0,0,"N",NULL
"R10008AA6TR5D7","1",1,2,"N",NULL
"R10008DSNOQ97H","5",0,0,"N",NULL
"R10009GL6PAAAW","5",0,0,"N",NULL
"R1000BRUIZ0XIA","4",0,0,"N",NULL
"R1000D9HGRKAPX","5",0,0,"N",NULL
"R1000GAQ08T5D8","5",7,7,"N",NULL
"R1000JU5Z7XLD0","5",0,0,"N",NULL
"R1000L0BPH0JOZ","5",0,0,"N",NULL
"R1000NHZW9G4HJ","5",0,0,"N",NULL
"R1000NZT1OGJBR","5",0,0,"N",NULL
"R1000QQJA57CHT","5",2,2,"N",NULL
"R1000RZ5SJGZAW","4",0,1,"N",NULL
"R1000SYUH94GSJ","5",0,0,"N",NULL
"R1000TVF11Y1L7","1",0,0,"N",NULL
"R1000WQC6KD66R","2",0,0,"N",NULL
"R1000X4TSP4JZN","5",8,8,"N",NULL
"R1000X5H7BS05W","5",0,0,"N",NULL
"R10010DAURMYHV","5",2,2,"N",NULL
"R10013EWZQI5LZ","5",1,2,"N",NULL
"R10013GP2IQLHL","5",0,0,"N",NULL
"R10013HWV8OZPY","3",0,0,"N",NULL
"R10014ADR9TX0Y","5",0,0,"N",NULL
"R10014L3W5JSYL","1",0,0,"N",NULL
"R10016E6O0GY8P","3",0,0,"N",NULL
"R100175CS839AA","5",1,1,"N",NULL
"R10017Z77EKMQQ","3",0,0,"N",NULL
"R1001831HFA242","5",0,0,"N",NULL
"R10018FRF4SF0F","5",0,0,"N",NULL
"R10018PLRUTXVC","5",0,0,"N",NULL
"R1001BQNIP0DLH","5",1,1,"N",NULL
"R1001DMK8J99WV","5",0,0,"N",NULL
"R1001DWCBKRYSV","5",0,0,"N",NULL
"R1001DYT4MP3X0","4",0,0,"N",NULL
"R1001EL48QZD5T","5",2,3,"N",NULL
"R1001FSC2ZWXTB","5",0,0,"N",NULL
"R1001FSVEQ2ABJ","5",10,13,"Y",NULL
"R1001FYHVYFXLL","4",0,0,"N",NULL
"R1001KMIQ8672","2",5,5,"N",NULL
"R1001L4N01OG25","4",0,0,"N",NULL
"R1001MZV6NF1RW","1",0,0,"N",NULL
"R1001P5X8CJ97M","4",2,3,"N",NULL
"R1001RSEO4TBVW","5",0,0,"N",NULL
"R1001S68JO359J","5",0,0,"N",NULL
"R1001SP7H3LLUN","5",0,0,"N",NULL
"R1001SQ1XKFW2K","5",0,0,"N",NULL
"R1001T2CSTX8ME","5",0,0,"N",NULL
"R1001T2ZY19K9E","1",0,0,"N",NULL
"R1001UQCHOT2CN","5",0,0,"N",NULL
"R1001VBCUIXUS1","5",2,3,"N",NULL
"R1001VFMM2PPGH","3",0,1,"N",NULL
"R1001VK62QQD93","5",18,18,"N",NULL
"R1001ZWR8HW5NA","5",0,1,"N",NULL
"R10020CXVIWARR","5",0,0,"N",NULL
"R10021PGCK2NCV","5",3,4,"N",NULL
"R100234D83E19P","5",0,0,"N",NULL
"R10023HJHRHG4F","1",0,4,"N",NULL
"R10023MMJLSINL","1",0,0,"N",NULL
"R10024GNUQU9O1","5",0,0,"N",NULL
"R10024LR3XRRK9","3",3,5,"N",NULL
"R10024WGVF9XQA","5",1,1,"N",NULL
"R1002506TLMMNS","5",0,0,"N",NULL
"R100255KBL87KF","5",0,0,"N",NULL
"R10025MAWYRSAW","4",0,0,"N",NULL
"R10026D8MQOHR6","5",0,0,"N",NULL
"R10027MR0DYWM5","5",0,0,"N",NULL
"R10029C1UB6ZFX","5",0,0,"N",NULL
"R1002A584RB7AR","4",1,1,"N",NULL
"R1002CKHI2UQDE","5",1,1,"N",NULL
"R1002DNFJLP3AI","5",3,3,"N",NULL
"R1002ETPF6KK1K","5",0,1,"N",NULL
"R1002EYEG21JLZ","5",0,0,"N",NULL
"R1002G8OJER9BG","1",0,0,"N",NULL
"R1002GH1Q9M98M","5",6,8,"N",NULL
"R1002IDT34USH7","5",31,32,"N",NULL
"R1002JSJ0F3YY5","5",0,0,"N",NULL
"R1002K05EFS8B4","5",0,0,"N",NULL
"R1002L266YURC7","5",0,0,"N",NULL
"R1002N1TDGS0BS","5",0,0,"N",NULL
"R1002N4SZA9QLW","5",0,0,"N",NULL
"R1002NNS151YVH","3",1,2,"N",NULL
"R1002OCB4TDZPG","3",0,0,"N",NULL
"R1002SIYUL28B3","4",2,3,"N",NULL
"R1002TUJNJH28S","5",0,0,"N",NULL
"R1002TZS0PIYNA","3",0,0,"N",NULL
"R1002UHQPNGS0U","5",17,19,"N",NULL
"R1002UZAJUEYOE","5",0,0,"N",NULL
"R1002V9U0MZ589","1",1,1,"N",NULL
"R1002VJ8ODY0UW","5",0,0,"N",NULL
"R1002VK6U2OUAN","5",0,0,"N",NULL
"R10030II4B8I2L","5",0,0,"N",NULL
"R10031Z68QB22B","5",0,0,"N",NULL
"R10032TF6GBBMC","5",3,4,"N",NULL
